T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
600	0.125147	0.063443	0.126734	0.092608	0.158109	0.100038	0.075269	0.143379	0.126487	0.100320	
610	0.126205	0.080453	0.129532	0.093173	0.155476	0.101107	0.076127	0.140546	0.126605	0.095453	
620	0.122725	0.084309	0.127228	0.089634	0.160989	0.097557	0.081711	0.140852	0.127510	0.099321	
630	0.122196	0.090457	0.127510	0.090422	0.163128	0.094019	0.079313	0.140923	0.128297	0.099991	
640	0.121573	0.083498	0.131436	0.090763	0.155911	0.095723	0.080300	0.143897	0.128638	0.096123	
650	0.123207	0.081382	0.130684	0.094501	0.156040	0.092961	0.080336	0.141828	0.128168	0.093854	
660	0.124159	0.072060	0.128885	0.090680	0.160107	0.092914	0.088177	0.143027	0.127710	0.094736	
670	0.120739	0.059164	0.129649	0.090198	0.157145	0.094560	0.088165	0.142792	0.127651	0.088800	
680	0.120515	0.069979	0.127510	0.090140	0.155311	0.095430	0.088447	0.141745	0.132141	0.089634	
690	0.124430	0.066194	0.127886	0.089470	0.157486	0.096676	0.093184	0.142063	0.131753	0.087130	
700	0.120257	0.071496	0.126581	0.090763	0.153994	0.096864	0.094148	0.141839	0.132012	0.089058	
710	0.122514	0.080442	0.126464	0.090081	0.157086	0.091891	0.099144	0.142345	0.133105	0.089434	
720	0.121303	0.074423	0.126064	0.091539	0.155229	0.092502	0.098462	0.141405	0.133199	0.087800	
730	0.120645	0.077432	0.125159	0.090528	0.153418	0.095676	0.100849	0.142216	0.131354	0.090704	
740	0.119598	0.071484	0.123007	0.091104	0.149422	0.093408	0.102142	0.144038	0.128627	0.092679	
750	0.120092	0.070238	0.124665	0.093443	0.149140	0.093149	0.104610	0.141475	0.128380	0.093419	
760	0.122079	0.061668	0.124606	0.090716	0.152302	0.092185	0.101119	0.141710	0.128674	0.092984	
770	0.120845	0.059776	0.125217	0.090598	0.151467	0.092021	0.106632	0.139018	0.129085	0.091174	
780	0.123125	0.057354	0.126722	0.090704	0.149363	0.093008	0.108478	0.142169	0.129179	0.092514	
790	0.124065	0.063937	0.126417	0.092220	0.150233	0.092573	0.109395	0.142533	0.129073	0.094230	
800	0.119140	0.064160	0.125864	0.096840	0.147858	0.095077	0.108572	0.138489	0.131248	0.095006	
810	0.118635	0.065724	0.126816	0.092855	0.149551	0.098286	0.107561	0.143603	0.130919	0.099309	
820	0.119069	0.061069	0.127157	0.090857	0.147553	0.095171	0.107573	0.138736	0.131894	0.093607	
830	0.122596	0.067146	0.126558	0.093372	0.149492	0.094019	0.101531	0.136926	0.128850	0.090986	
840	0.120268	0.069509	0.125500	0.094748	0.149398	0.093419	0.104399	0.141628	0.131072	0.092549	
850	0.122608	0.072906	0.127698	0.091656	0.147694	0.093067	0.103188	0.142051	0.130155	0.091127	
860	0.123489	0.073776	0.126111	0.092455	0.150139	0.092491	0.106961	0.142227	0.128850	0.092726	
870	0.122714	0.072072	0.124924	0.091045	0.153289	0.093290	0.107608	0.147165	0.127310	0.087847	
880	0.120116	0.071425	0.126722	0.088118	0.151350	0.092162	0.108184	0.141851	0.127815	0.088999	
890	0.121985	0.072377	0.125841	0.089481	0.149821	0.093466	0.103893	0.139206	0.125429	0.086766	
900	0.125288	0.077891	0.128286	0.088588	0.152137	0.092209	0.105363	0.142333	0.124806	0.086872	
910	0.121350	0.078690	0.124924	0.090551	0.149410	0.091574	0.102142	0.142039	0.126134	0.089105	
920	0.123219	0.066429	0.127098	0.087777	0.147623	0.093725	0.096911	0.144637	0.125100	0.086037	
930	0.120962	0.063820	0.126052	0.087730	0.147082	0.097828	0.099144	0.147717	0.123442	0.086907	
940	0.125711	0.059905	0.125065	0.092655	0.153007	0.096828	0.101072	0.144790	0.123795	0.086942	
950	0.124971	0.066641	0.122725	0.094101	0.157803	0.093278	0.102212	0.145860	0.116142	0.086754	
960	0.123948	0.066335	0.122396	0.090046	0.154806	0.091997	0.099274	0.142086	0.123290	0.086801	
970	0.124547	0.074787	0.123572	0.090187	0.154429	0.091962	0.100884	0.144614	0.125488	0.087577	
980	0.125300	0.078384	0.124712	0.089940	0.153148	0.093137	0.103047	0.145578	0.123254	0.086002	
990	0.128333	0.081664	0.125993	0.090398	0.154512	0.094759	0.100508	0.147047	0.123031	0.088165	
1000	0.130237	0.079384	0.124736	0.089846	0.158191	0.094278	0.095959	0.144684	0.123583	0.089587	
1010	0.130684	0.077467	0.124818	0.090163	0.154453	0.093455	0.094548	0.143462	0.121562	0.087236	
1020	0.128638	0.077291	0.126181	0.087189	0.153136	0.091962	0.091597	0.143955	0.123830	0.088271	
1030	0.126558	0.079572	0.125735	0.086178	0.154559	0.093972	0.089317	0.149516	0.122032	0.085767	
1040	0.130590	0.078784	0.125899	0.089340	0.158085	0.093255	0.090010	0.153219	0.120892	0.087354	
1050	0.130190	0.080994	0.123701	0.093901	0.152078	0.095265	0.091010	0.157098	0.117236	0.088459	
1060	0.130119	0.078220	0.125758	0.094560	0.155358	0.096311	0.096793	0.153677	0.119352	0.088259	
1070	0.128027	0.081300	0.125535	0.094983	0.155570	0.098239	0.093702	0.148728	0.125076	0.088694	
1080	0.125817	0.080065	0.127510	0.088811	0.152513	0.097005	0.095418	0.151538	0.122878	0.087871	
1090	0.126922	0.080559	0.125206	0.089223	0.154676	0.099838	0.098392	0.147729	0.122890	0.088494	
1100	0.127510	0.076163	0.122537	0.089517	0.158438	0.098263	0.094536	0.148646	0.118305	0.087048	
1110	0.126887	0.076480	0.125841	0.091621	0.152360	0.097557	0.096535	0.147141	0.117588	0.086578	
1120	0.123701	0.075234	0.125876	0.089952	0.154911	0.097017	0.094360	0.147235	0.119175	0.086789	
1130	0.123971	0.075363	0.125417	0.091926	0.153877	0.098098	0.096288	0.149034	0.118999	0.088423	
1140	0.123748	0.071837	0.126746	0.087330	0.151702	0.095618	0.097898	0.146142	0.117859	0.088741	
1150	0.124101	0.070931	0.123360	0.089517	0.156863	0.093584	0.102224	0.145343	0.115931	0.089752	
1160	0.124289	0.068980	0.124865	0.090610	0.157533	0.096194	0.102389	0.144390	0.115178	0.094160	
1170	0.122149	0.075304	0.123983	0.088388	0.158156	0.095947	0.105798	0.142439	0.115320	0.094936	
1180	0.123102	0.075199	0.123137	0.088929	0.156792	0.094842	0.101507	0.141369	0.121468	0.101460	
1190	0.121232	0.071167	0.125065	0.088647	0.150691	0.094407	0.104516	0.133646	0.117471	0.099944	
1200	0.120656	0.075739	0.125829	0.090375	0.158461	0.095912	0.097792	0.133470	0.119152	0.104987	
1210	0.122173	0.082546	0.125476	0.090210	0.159390	0.094407	0.103811	0.134104	0.120445	0.101389	
1220	0.125347	0.082193	0.124124	0.089376	0.160965	0.092843	0.101672	0.130848	0.123819	0.100155	
1230	0.124348	0.083298	0.123901	0.090669	0.163128	0.094042	0.099085	0.135092	0.126946	0.092996	
1240	0.123948	0.086543	0.126193	0.088047	0.157580	0.094595	0.099356	0.139289	0.125264	0.095853	
1250	0.123078	0.090046	0.124818	0.090069	0.155875	0.093361	0.105304	0.134528	0.127569	0.095430	
1260	0.123631	0.095406	0.125288	0.089752	0.157462	0.091151	0.104587	0.139242	0.124207	0.095147	
1270	0.121326	0.092103	0.124759	0.088929	0.156957	0.091198	0.104493	0.143567	0.126275	0.090516	
1280	0.123007	0.087906	0.124324	0.090504	0.161212	0.092773	0.105069	0.141322	0.128603	0.087612	
1290	0.122819	0.085144	0.124089	0.089434	0.160448	0.092397	0.107197	0.141393	0.124665	0.087671	
1300	0.123196	0.095100	0.126275	0.091068	0.159590	0.090727	0.106068	0.143838	0.123019	0.085849	
1310	0.128427	0.098545	0.126558	0.090081	0.160554	0.094807	0.104469	0.142956	0.119798	0.087013	
1320	0.122655	0.088988	0.125182	0.089928	0.160119	0.091809	0.105833	0.139688	0.123231	0.085908	
1330	0.125029	0.093854	0.126369	0.090927	0.162106	0.092173	0.109124	0.142533	0.128215	0.087483	
