T	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
610	0.125522	0.082985	0.127368	0.093632	0.157407	0.097373	0.07596	0.142134	0.12854	0.101467
620	0.122684	0.084964	0.127815	0.091127	0.159077	0.096747	0.083459	0.141913	0.127676	0.099322
630	0.122058	0.090777	0.127777	0.092042	0.159968	0.09473	0.078809	0.141682	0.12938	0.099296
640	0.122033	0.087613	0.129659	0.092016	0.157178	0.095428	0.082356	0.142397	0.127431	0.096321
650	0.121861	0.082055	0.130328	0.095101	0.157685	0.09382	0.079877	0.14249	0.126782	0.093945
660	0.122295	0.069892	0.128905	0.09159	0.157698	0.093414	0.086128	0.142258	0.128865	0.094685
670	0.121097	0.060178	0.12903	0.091497	0.157048	0.092713	0.088306	0.142285	0.127511	0.089536
680	0.121875	0.071437	0.127097	0.089778	0.156849	0.095898	0.090393	0.142461	0.130663	0.08806
690	0.124008	0.066615	0.126789	0.090055	0.156664	0.09534	0.094512	0.142216	0.131224	0.086633
700	0.122317	0.072239	0.126337	0.09115	0.156543	0.095886	0.094523	0.142635	0.131433	0.087302
710	0.121694	0.082272	0.125868	0.089315	0.155539	0.093118	0.098041	0.142093	0.133001	0.089803
720	0.121694	0.073656	0.126069	0.092507	0.154909	0.092934	0.102709	0.142181	0.129765	0.08903
730	0.12084	0.074103	0.126643	0.09022	0.154305	0.093457	0.100172	0.142247	0.130922	0.089364
740	0.119421	0.07006	0.126069	0.09116	0.150144	0.092892	0.102614	0.141138	0.130734	0.092531
750	0.121418	0.068619	0.126088	0.091663	0.148171	0.092399	0.10508	0.141106	0.130003	0.096107
760	0.121936	0.060072	0.126811	0.091954	0.151562	0.092371	0.10158	0.139771	0.129239	0.092703
770	0.122053	0.058614	0.125743	0.091071	0.151108	0.092542	0.106833	0.140648	0.129884	0.092405
780	0.123429	0.058774	0.126181	0.091071	0.151226	0.093372	0.108429	0.141855	0.129633	0.092388
790	0.123406	0.063944	0.126332	0.090927	0.147982	0.094166	0.110058	0.141117	0.129897	0.09525
800	0.119774	0.063744	0.126069	0.095603	0.146092	0.094351	0.109687	0.139598	0.130573	0.097407
810	0.119475	0.067357	0.126069	0.091605	0.147909	0.096296	0.108507	0.140612	0.132439	0.097734
820	0.121347	0.060954	0.126026	0.0905	0.146319	0.095272	0.106	0.140037	0.132324	0.094617
830	0.121464	0.065818	0.126049	0.092683	0.14906	0.09373	0.103196	0.138833	0.130684	0.091712
840	0.121416	0.069005	0.125781	0.093777	0.150479	0.094398	0.104341	0.140009	0.133339	0.090978
850	0.122033	0.073746	0.126791	0.092306	0.147434	0.093214	0.102622	0.139023	0.130411	0.090927
860	0.123937	0.071381	0.126461	0.091952	0.151517	0.09248	0.106858	0.141231	0.129355	0.090257
870	0.122314	0.070541	0.125957	0.089769	0.150718	0.092438	0.108215	0.147805	0.12869	0.088957
880	0.120706	0.070212	0.126601	0.089526	0.150318	0.09206	0.107085	0.14211	0.128099	0.087769
890	0.120943	0.076795	0.125514	0.089494	0.151996	0.09262	0.106045	0.141288	0.127885	0.087297
900	0.122127	0.079056	0.126281	0.089916	0.152144	0.092311	0.104548	0.142777	0.126145	0.086986
910	0.12293	0.076454	0.126388	0.089625	0.150667	0.092712	0.101321	0.143922	0.126253	0.088865
920	0.122113	0.066741	0.126796	0.089241	0.147014	0.09509	0.09941	0.144182	0.125194	0.087716
930	0.122219	0.063285	0.125817	0.089708	0.147231	0.096918	0.096658	0.144144	0.124929	0.087501
940	0.123957	0.06097	0.125027	0.091674	0.15258	0.095075	0.100723	0.143056	0.122697	0.087185
950	0.126045	0.064455	0.124354	0.092541	0.156852	0.091201	0.099971	0.144362	0.118579	0.086495
960	0.125483	0.067106	0.124892	0.091901	0.155319	0.092135	0.100457	0.142793	0.12255	0.086708
970	0.125523	0.076793	0.124377	0.090445	0.157117	0.092931	0.099795	0.14413	0.125186	0.087545
980	0.125535	0.080218	0.126037	0.089868	0.153954	0.09409	0.103235	0.14597	0.124557	0.086732
990	0.128625	0.081995	0.125848	0.089783	0.154962	0.093462	0.101332	0.149017	0.124026	0.088019
1000	0.130337	0.080052	0.125782	0.090121	0.155892	0.094652	0.095453	0.145874	0.124438	0.087647
1010	0.131691	0.078784	0.126296	0.089449	0.155203	0.093632	0.092492	0.143714	0.121767	0.087416
1020	0.127984	0.079453	0.126538	0.088904	0.154792	0.091671	0.090354	0.144961	0.121659	0.087355
1030	0.128836	0.080451	0.126069	0.088286	0.1562	0.093179	0.088294	0.14907	0.12162	0.087402
1040	0.12972	0.077758	0.126069	0.089449	0.156379	0.093964	0.091157	0.152635	0.119017	0.087559
1050	0.129499	0.081489	0.126069	0.093902	0.153935	0.095612	0.092283	0.156448	0.118455	0.088923
1060	0.130209	0.080271	0.125936	0.094433	0.154256	0.09716	0.097358	0.153333	0.121205	0.087168
1070	0.128087	0.082258	0.126328	0.091669	0.155676	0.097813	0.093822	0.149378	0.123312	0.088426
1080	0.125979	0.079543	0.127613	0.089955	0.155416	0.098267	0.093668	0.151424	0.123919	0.088351
