essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.763158,4,0.9949366,0.0184014,0.1658838,0.0710534,0.254117,0.0315424,0.9949424,0.0324298,0.0024176,0.0055102,0.0497884,0.012882,0.002123,0.007627,0.0024498,0.0085278
0.789474,4,0.9894878,0.0268778,0.1813244,0.0731444,0.2601228,0.047489,0.9894934,0.0468018,0.0054788,0.0090108,0.0622912,0.013037,0.0057552,0.013243,0.005519,0.0133658
0.815789,4,0.9866496,0.0274282,0.4921726,0.0688736,0.4972326,0.0261504,0.98665,0.0503426,0.0090834,0.0108322,0.070169,0.0164688,0.0027282,0.011166,0.009104,0.0194226
0.842105,4,0.990819,0.0240494,0.4859904,0.0593502,0.4987156,0.019284,0.9908142,0.0420612,0.006363,0.0095958,0.053098,0.0142984,0.0013882,0.0078078,0.006367,0.01646
0.868421,4,0.9883416,0.0240872,0.463226,0.077554,0.4985568,0.0204808,0.9883438,0.0468272,0.0068234,0.0066724,0.0254036,0.0203208,0.0009346,0.0056026,0.0068378,0.0141548
0.894737,4,0.9938682,0.0188538,0.4842276,0.06869,0.4994242,0.0154,0.9938664,0.0348044,0.0033308,0.0058976,0.0423424,0.0143074,0.0006764,0.0047396,0.0033622,0.010237
0.921053,4,0.99483,0.0177952,0.513943,0.0697324,0.4998006,0.0138786,0.9948348,0.0323054,0.0020068,0.0046638,0.0297872,0.0204938,0.0004236,0.00368,0.0020556,0.007204
0.947368,4,0.9947422,0.0174214,0.49225,0.060096,0.4998286,0.0133128,0.9947402,0.0323424,0.002283,0.004602,0.0297972,0.0134182,0.0004768,0.003447,0.0023254,0.007754
0.973684,4,0.9960432,0.0159468,0.5222318,0.0590546,0.5000854,0.0125268,0.9960388,0.028484,0.0018276,0.0043342,0.0749118,0.0137028,0.000598,0.0032108,0.001861,0.0073482
1,4,0.9957804,0.0158532,0.5138672,0.067758,0.5000384,0.0121258,0.9957836,0.0290748,0.00199,0.0045066,0.0542848,0.0121472,0.0004194,0.00331,0.0020144,0.0075382
0.5,6,0.001649,0.0097215,0.0018855,0.010885,0.0042735,0.029449,0.00165,0.013475,0.0011695,0.0043995,0.00131,0.0047825,0.0023245,0.0085145,0.0011885,0.005708
0.526316,6,0.002224,0.010715,0.0037105,0.0131715,0.0071185,0.0374175,0.0022245,0.0152865,0.001629,0.0047455,0.0026975,0.0052125,0.0037835,0.010085,0.001649,0.006374
0.552632,6,0.0072315,0.015804,0.0105965,0.019483,0.022117,0.0630395,0.0072265,0.025045,0.0068105,0.0067265,0.009283,0.0072245,0.0120055,0.016228,0.006826,0.0114215
0.578947,6,0.053651,0.025038,0.0112465,0.015204,0.089313,0.113818,0.053651,0.0611765,0.019383,0.009684,0.019206,0.0079455,0.013276,0.0064475,0.019452,0.0154715
0.605263,6,0.113351,0.0333955,0.001942,0.011561,0.14766,0.131937,0.113348,0.08828,0.013854,0.0100495,0.001607,0.0058285,0.0133075,0.003493,0.0139815,0.0060765
0.631579,6,0.6192345,0.039849,0.046948,0.0257845,0.1857145,0.081846,0.6192165,0.0720275,0.4356785,0.032684,0.0536575,0.0196995,0.0176275,0.0601515,0.435669,0.055446
0.657895,6,0.9867445,0.0276945,0.120181,0.0474135,0.1819255,0.047368,0.9867405,0.0385425,0.008598,0.0102965,0.0355555,0.0116285,0.008288,0.011388,0.0086345,0.0128585
0.684211,6,0.9880915,0.025539,0.2760305,0.04401,0.330332,0.0259305,0.9880905,0.034701,0.013471,0.0131165,0.043458,0.013587,0.0037625,0.0101725,0.0134925,0.018213
0.710526,6,0.9875935,0.026505,0.274457,0.043414,0.3324335,0.0207775,0.987599,0.0370865,0.008873,0.012032,0.0394165,0.0143615,0.0019485,0.006258,0.008887,0.015072
0.736842,6,0.9923605,0.020613,0.313339,0.042083,0.3340865,0.0179695,0.9923615,0.0286635,0.0063045,0.0100555,0.0428135,0.011919,0.0013765,0.005302,0.0063225,0.0129985
0.763158,6,0.987371,0.0251335,0.2841445,0.0383815,0.334139,0.0187145,0.9873755,0.036456,0.008265,0.0098665,0.033363,0.010729,0.0014945,0.005436,0.00829,0.0128615
0.789474,6,0.9897715,0.0243845,0.308241,0.044318,0.3351375,0.0201875,0.989772,0.033774,0.007995,0.011175,0.0451285,0.0143895,0.0017525,0.0061365,0.0080075,0.014354
0.815789,6,0.9874715,0.0264665,0.295848,0.042775,0.3357855,0.0219035,0.987477,0.0372705,0.008587,0.010129,0.036074,0.011123,0.002276,0.0072975,0.0086035,0.013435
0.842105,6,0.9703335,0.040532,0.3079745,0.0430165,0.3406225,0.033366,0.970321,0.0569315,0.021261,0.0198525,0.031027,0.0141785,0.0050755,0.011237,0.0212915,0.0233245
0.868421,6,0.97652,0.036134,0.4747665,0.0425325,0.492204,0.034149,0.976516,0.050118,0.018472,0.0174125,0.0253585,0.014185,0.00595,0.0123795,0.0184855,0.021674
0.894737,6,0.990717,0.0221525,0.484115,0.0436875,0.498009,0.0196505,0.9907205,0.031053,0.0084165,0.011143,0.0276805,0.013709,0.002245,0.0077655,0.0084285,0.01458
0.921053,6,0.991153,0.0199905,0.492974,0.0400465,0.498989,0.016846,0.9911525,0.029838,0.006031,0.0091395,0.042733,0.0124525,0.0015705,0.0058995,0.006051,0.0116265
0.947368,6,0.9921295,0.019853,0.5019875,0.0367705,0.499537,0.0153155,0.992127,0.028439,0.006102,0.009368,0.028101,0.0111,0.001233,0.0054415,0.006126,0.0121385
0.973684,6,0.993864,0.018166,0.5052735,0.0420915,0.49993,0.0141555,0.993863,0.025711,0.0044965,0.007732,0.039481,0.013457,0.0009855,0.004438,0.0045185,0.0102435
1,6,0.9944995,0.0173785,0.499893,0.0339665,0.5000425,0.0134225,0.9945025,0.02471,0.003535,0.0069775,0.0264695,0.0105515,0.000857,0.0042865,0.0035575,0.0088455
0.5,8,0.0012265,0.0085545,0.002447,0.0114845,0.004707,0.028544,0.001226,0.0102735,0.000961,0.0046795,0.0022205,0.005921,0.00291,0.0094525,0.0009745,0.005394
0.526316,8,0.001854,0.0099195,0.0044495,0.0141685,0.008046,0.036693,0.0018525,0.0122035,0.0015165,0.0051705,0.0038005,0.006957,0.00477,0.011118,0.001524,0.0060625
0.552632,8,0.0081805,0.0124085,0.023511,0.022136,0.0412635,0.0746265,0.0081815,0.019174,0.009368,0.006677,0.018192,0.008605,0.013843,0.011399,0.009373,0.0110145
0.578947,8,0.036079,0.0176455,0.0278945,0.0171485,0.099738,0.1049545,0.0360745,0.0365345,0.0249705,0.008754,0.0413275,0.0105885,0.0127975,0.0053815,0.0249815,0.0177715
0.605263,8,0.091463,0.0265515,0.001656,0.010365,0.158046,0.1168945,0.0914535,0.060983,0.0101745,0.01079,0.0015565,0.005857,0.0121125,0.003563,0.010273,0.0064085
0.631579,8,0.6553745,0.037457,0.1227385,0.022422,0.231268,0.0627955,0.65535,0.056459,0.4475075,0.0282235,0.1161315,0.015924,0.024259,0.0527135,0.4475175,0.039118
0.657895,8,0.9777875,0.0310515,0.1898345,0.0294495,0.2500905,0.023136,0.9777875,0.039806,0.019612,0.0162225,0.0292985,0.01058,0.0029415,0.006886,0.019615,0.019322
0.684211,8,0.9824105,0.029617,0.211466,0.0292355,0.2535185,0.024793,0.9823975,0.036882,0.0151775,0.01702,0.024017,0.0097295,0.0033205,0.007988,0.015197,0.0192415
0.710526,8,0.965036,0.039197,0.208179,0.033487,0.2586645,0.032357,0.965042,0.049754,0.0324605,0.0193825,0.0253565,0.011826,0.0066045,0.010709,0.0324615,0.0234595
0.736842,8,0.962253,0.037261,0.319229,0.0327215,0.3675495,0.031897,0.9622545,0.0500365,0.0268795,0.0173525,0.024909,0.0117195,0.006909,0.0109895,0.0268985,0.0201055
0.763158,8,0.9745915,0.0319225,0.3387955,0.027383,0.3731335,0.0223145,0.974592,0.0408585,0.024532,0.0180015,0.0319205,0.0091465,0.0030645,0.0081995,0.0245355,0.0221265
0.789474,8,0.9856225,0.0278915,0.3440385,0.0292995,0.3749705,0.018731,0.9856175,0.0348035,0.0092215,0.0141695,0.029719,0.010137,0.002159,0.005669,0.009243,0.0149565
0.815789,8,0.9866385,0.029054,0.352921,0.0265305,0.376204,0.0188395,0.986638,0.034974,0.011236,0.0182095,0.029831,0.008639,0.002129,0.0064255,0.0112455,0.019297
0.842105,8,0.982046,0.033314,0.340069,0.027921,0.3769735,0.020532,0.982038,0.040483,0.012332,0.014561,0.021909,0.0092775,0.0028085,0.0070945,0.0123465,0.0161595
