T	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10
600	0.593333	0.797800	0.544400	0.890133	0.510533	0.557933	0.574400	0.488467	0.580467	0.486067	
610	0.592467	0.804467	0.546133	0.900333	0.504000	0.558467	0.569867	0.490933	0.581067	0.493000	
620	0.590800	0.809600	0.543333	0.907933	0.508200	0.570267	0.567200	0.506867	0.581067	0.492267	
630	0.590133	0.819000	0.540800	0.919533	0.516200	0.578333	0.576000	0.518333	0.578067	0.494533	
640	0.590133	0.813733	0.540867	0.924067	0.509400	0.598067	0.581600	0.522333	0.590333	0.492533	
650	0.588067	0.818200	0.535867	0.934067	0.516333	0.617933	0.583333	0.531533	0.581000	0.503800	
660	0.590133	0.829333	0.539067	0.934867	0.516800	0.660000	0.589800	0.539800	0.577733	0.516467	
670	0.593067	0.823467	0.536200	0.938867	0.515933	0.668200	0.593400	0.549067	0.577200	0.526267	
680	0.589667	0.825733	0.542667	0.940667	0.525333	0.695133	0.592333	0.551867	0.577133	0.534933	
690	0.578600	0.824733	0.541667	0.954267	0.536667	0.740933	0.597133	0.558533	0.578000	0.540733	
700	0.589333	0.836400	0.540800	0.953933	0.523667	0.768133	0.586333	0.561400	0.579333	0.567133	
710	0.582067	0.840333	0.544533	0.956800	0.523867	0.798267	0.588133	0.564133	0.582600	0.570667	
720	0.586667	0.839933	0.542600	0.955600	0.528533	0.813667	0.591333	0.573800	0.578733	0.582800	
730	0.579533	0.840400	0.541800	0.961800	0.538133	0.820800	0.583667	0.581533	0.575067	0.589867	
740	0.587333	0.849400	0.541867	0.964733	0.531333	0.835400	0.589933	0.583400	0.584000	0.604067	
750	0.589000	0.865867	0.565333	0.964267	0.533867	0.836800	0.591933	0.585200	0.583133	0.628800	
760	0.589067	0.870733	0.579533	0.967333	0.534333	0.842333	0.596267	0.597200	0.583667	0.643400	
770	0.591867	0.876333	0.612333	0.969067	0.518933	0.848200	0.588267	0.594267	0.584267	0.661200	
780	0.591200	0.875267	0.643400	0.974333	0.528800	0.850400	0.585067	0.608733	0.579333	0.675267	
790	0.586200	0.880133	0.691000	0.973733	0.531867	0.855533	0.584067	0.600533	0.576933	0.694800	
800	0.584533	0.876933	0.749467	0.974867	0.523800	0.857333	0.580867	0.598133	0.580400	0.723533	
810	0.589467	0.887133	0.785333	0.975467	0.530800	0.865267	0.590800	0.594533	0.572600	0.760333	
820	0.596267	0.902333	0.811067	0.980600	0.537933	0.869333	0.588267	0.607400	0.581533	0.805333	
830	0.593467	0.903867	0.833467	0.987400	0.541533	0.874933	0.576933	0.613000	0.585667	0.856000	
840	0.597667	0.918733	0.846333	0.987133	0.556000	0.877667	0.581333	0.613467	0.581267	0.884667	
850	0.578933	0.915467	0.849800	0.987333	0.567533	0.878800	0.583400	0.615000	0.578667	0.910467	
860	0.584200	0.918267	0.856133	0.985333	0.571733	0.895000	0.591533	0.613600	0.579000	0.925067	
870	0.589933	0.926000	0.858867	0.988067	0.581267	0.897800	0.589867	0.627933	0.583133	0.932333	
880	0.584600	0.927067	0.869133	0.990267	0.578733	0.905067	0.580667	0.613333	0.580733	0.947133	
890	0.590533	0.928933	0.870667	0.988933	0.587000	0.913400	0.590333	0.615267	0.575533	0.943933	
900	0.585067	0.933600	0.872067	0.989533	0.601400	0.921933	0.580133	0.616133	0.587333	0.958267	
910	0.585533	0.936133	0.878400	0.989533	0.596600	0.920933	0.582600	0.624133	0.585400	0.964533	
920	0.590600	0.942800	0.876267	0.990600	0.620133	0.932800	0.580667	0.620400	0.586333	0.964133	
930	0.579467	0.948400	0.881000	0.989267	0.625067	0.933000	0.579133	0.628200	0.591800	0.967600	
940	0.584667	0.951867	0.893600	0.985800	0.638667	0.941600	0.591933	0.634333	0.582533	0.972200	
950	0.580133	0.954733	0.900533	0.987800	0.654333	0.949000	0.580467	0.638000	0.588333	0.972067	
960	0.585267	0.952467	0.902400	0.987933	0.662667	0.949200	0.591200	0.652400	0.584533	0.973933	
970	0.580800	0.959267	0.897467	0.988133	0.687400	0.949467	0.588400	0.644600	0.590067	0.976867	
980	0.586933	0.965133	0.891067	0.986333	0.700200	0.951667	0.587533	0.645533	0.594267	0.977333	
990	0.588267	0.967133	0.899333	0.985933	0.705067	0.958600	0.592067	0.653000	0.601867	0.978400	
1000	0.590533	0.971600	0.910333	0.984333	0.736800	0.965133	0.586067	0.665067	0.614333	0.978867	
1010	0.583000	0.970200	0.909800	0.983467	0.759733	0.961067	0.593733	0.674000	0.628933	0.979933	
1020	0.592467	0.972800	0.910067	0.983067	0.785067	0.967000	0.594000	0.679533	0.624467	0.981267	
1030	0.597867	0.972533	0.914200	0.982267	0.803200	0.974733	0.594467	0.689400	0.634067	0.980133	
1040	0.599800	0.971267	0.920667	0.983667	0.835800	0.976133	0.589467	0.696600	0.649533	0.981800	
1050	0.594467	0.971000	0.931000	0.983733	0.851333	0.980733	0.589667	0.705933	0.662133	0.982600	
1060	0.598333	0.971200	0.940467	0.987200	0.865667	0.981733	0.589067	0.709333	0.687067	0.981467	
1070	0.607200	0.976200	0.940667	0.983800	0.884933	0.980667	0.597800	0.735667	0.697467	0.982400	
1080	0.614333	0.975733	0.946600	0.983267	0.898133	0.981667	0.591200	0.746600	0.728133	0.984000	
1090	0.628200	0.978000	0.951333	0.984133	0.911267	0.981867	0.600667	0.768467	0.750267	0.983800	
1100	0.632467	0.978400	0.950600	0.982667	0.923467	0.985000	0.611933	0.777200	0.774733	0.984800	
1110	0.657333	0.976333	0.955533	0.982600	0.938533	0.987867	0.621400	0.776133	0.804800	0.981933	
1120	0.686133	0.977733	0.957400	0.983133	0.940400	0.986467	0.628200	0.789467	0.820867	0.980600	
1130	0.721267	0.979267	0.954600	0.983200	0.948200	0.988067	0.641600	0.797867	0.843067	0.979533	
1140	0.774800	0.976467	0.959133	0.983600	0.949000	0.988400	0.671667	0.810267	0.854667	0.979867	
1150	0.827667	0.978533	0.969000	0.984467	0.950200	0.989333	0.699400	0.830600	0.859800	0.981133	
1160	0.876867	0.974267	0.971800	0.985933	0.949267	0.990400	0.722933	0.860733	0.864533	0.980200	
1170	0.892200	0.973667	0.970067	0.986600	0.950533	0.992133	0.743600	0.872733	0.870867	0.982667	
