essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.763158,4,0.9951616,0.0179198,0.158826,0.0696792,0.2536922,0.0299274,0.995156,0.0316438,0.0022722,0.0053124,0.0229898,0.0202126,0.0016668,0.0067976,0.0023172,0.0084732
0.789474,4,0.9892928,0.0288564,0.1799484,0.080766,0.2597716,0.0472844,0.9892934,0.0480844,0.0048194,0.0081992,0.054062,0.0165234,0.0040016,0.0095528,0.0048732,0.0121338
0.815789,4,0.9790428,0.0305594,0.4534492,0.0662018,0.4951714,0.033472,0.9790622,0.0601654,0.0177592,0.012266,0.0606176,0.0259292,0.003661,0.0131978,0.0177288,0.0263878
0.842105,4,0.9771114,0.0316662,0.421426,0.0506828,0.496481,0.0298216,0.977082,0.0656742,0.0093458,0.0071474,0.0174724,0.009844,0.0015602,0.0064608,0.0093926,0.0126418
0.868421,4,0.9943816,0.0199562,0.4843238,0.0596474,0.4993688,0.0154002,0.9943904,0.0339324,0.0033816,0.0077498,0.0516532,0.0197278,0.0008184,0.0052916,0.0033954,0.0117832
0.894737,4,0.9929306,0.0203628,0.5142942,0.0711702,0.4996038,0.0154328,0.9929278,0.0378186,0.0024398,0.00503,0.0349662,0.015291,0.0005596,0.003817,0.0024892,0.0076236
0.921053,4,0.9952118,0.015533,0.5458252,0.0582892,0.5001666,0.0123534,0.9952126,0.0305728,0.0022448,0.0047028,0.0283202,0.0126984,0.000472,0.0035874,0.0022834,0.0080362
0.947368,4,0.9938228,0.0185396,0.4643972,0.0581284,0.4995548,0.0149494,0.9938158,0.0349926,0.0034192,0.0056274,0.1051118,0.0137634,0.0008328,0.0042826,0.003437,0.0102462
0.973684,4,0.9952908,0.0177886,0.5165178,0.0659938,0.4999648,0.0132946,0.9952968,0.0312634,0.0021762,0.004732,0.0780414,0.017405,0.0006306,0.0034822,0.002209,0.0079418
1,4,0.9963426,0.0155288,0.5045082,0.0601932,0.5000152,0.0113798,0.996338,0.0272966,0.0019228,0.004441,0.0379478,0.0085614,0.0003942,0.0033066,0.001967,0.007725
0.5,6,0.001336,0.009419,0.001991,0.0107675,0.003882,0.028247,0.0013355,0.012534,0.0009245,0.00432,0.00156,0.004837,0.002202,0.00852,0.000947,0.005523
0.526316,6,0.001907,0.011093,0.0030255,0.0132585,0.0057655,0.034537,0.0019095,0.0149545,0.0012955,0.0049365,0.002126,0.0055765,0.00296,0.0094405,0.00132,0.0062475
0.552632,6,0.0060065,0.0160795,0.008302,0.0179155,0.0174755,0.0571215,0.0060065,0.024146,0.0043985,0.006564,0.0065495,0.0067915,0.00845,0.0132105,0.0044145,0.009596
0.578947,6,0.040379,0.0212735,0.017019,0.0194415,0.0779915,0.1082505,0.040383,0.052047,0.024932,0.0076465,0.0233155,0.0100995,0.016586,0.008321,0.024967,0.0190795
0.605263,6,0.1039445,0.0305435,0.002095,0.0119415,0.1390775,0.129978,0.1039685,0.084363,0.0142635,0.009581,0.0017505,0.0058455,0.013994,0.004289,0.0143835,0.0064085
0.631579,6,0.17517,0.0440375,0.001218,0.009529,0.195416,0.138703,0.175193,0.1083025,0.0168215,0.0190465,0.001001,0.00487,0.011063,0.002496,0.016966,0.0107885
0.657895,6,0.9842055,0.0307975,0.098273,0.05097,0.183153,0.048245,0.984205,0.0421145,0.011242,0.0118025,0.04281,0.017751,0.011639,0.01435,0.011258,0.015472
0.684211,6,0.965994,0.0376765,0.25831,0.042835,0.328318,0.032652,0.9660025,0.0561485,0.027465,0.0181085,0.039302,0.0153925,0.0045045,0.011197,0.0274845,0.0255105
0.710526,6,0.9745175,0.035454,0.2720915,0.040897,0.3316715,0.0246645,0.9745235,0.0500775,0.0226775,0.0171735,0.03771,0.013509,0.002605,0.009226,0.0226795,0.024562
0.736842,6,0.9838955,0.0285905,0.28089,0.0422445,0.33347,0.0201915,0.9839015,0.040861,0.012483,0.0141565,0.033918,0.012482,0.001728,0.006413,0.0124975,0.0182145
