essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.5,2,0.0007698,0.0087958,0.0009138,0.0080998,0.0011728,0.0241612,0.000773,0.025646,0.000296,0.0022568,0.0003168,0.0018378,0.0004252,0.0048348,0.0004078,0.008267
0.526316,2,0.000802,0.008925,0.0010066,0.0084698,0.0012772,0.0252302,0.000805,0.026219,0.0003128,0.0023188,0.0003522,0.0019054,0.0004566,0.0049508,0.0004294,0.0084284
0.552632,2,0.000861,0.0093586,0.0011142,0.0088008,0.0014026,0.0263778,0.0008594,0.027148,0.0003448,0.0025006,0.0004332,0.0020084,0.0005364,0.0054614,0.0004544,0.0085284
0.578947,2,0.0008866,0.0095248,0.001266,0.0094214,0.0015658,0.0279982,0.0008884,0.0276508,0.0003574,0.0025228,0.0004484,0.002041,0.0005528,0.0053698,0.000471,0.0087122
0.605263,2,0.0009132,0.0096266,0.0016982,0.0106092,0.0020072,0.0317178,0.0009138,0.0281128,0.0003704,0.0025536,0.0006058,0.0022216,0.0007064,0.0059618,0.0004784,0.008662
0.631579,2,0.001048,0.0105338,0.0023058,0.0123312,0.0026658,0.0366184,0.0010472,0.0301968,0.0004344,0.0030012,0.0007976,0.0026234,0.0008988,0.0065322,0.0005428,0.009091
0.657895,2,0.0011652,0.0112518,0.004094,0.015511,0.0045068,0.0474304,0.0011652,0.031978,0.000478,0.0031186,0.0014074,0.0029798,0.0015292,0.0083492,0.0005928,0.009295
0.684211,2,0.0013612,0.0122438,0.030819,0.0278746,0.0313626,0.1236546,0.0013538,0.034605,0.0005802,0.0035612,0.0061326,0.0033478,0.0063016,0.0120484,0.000689,0.0098408
0.710526,2,0.3997168,0.0168874,0.137915,0.0590228,0.256202,0.1363988,0.399719,0.0504038,0.2817732,0.0050956,0.0372188,0.024699,0.1170546,0.0535738,0.2818376,0.0145252
0.736842,2,0.9981314,0.0119932,0.4630622,0.153925,0.499667,0.0169634,0.9981354,0.040496,0.0008944,0.003695,0.1598524,0.0345282,0.0004468,0.0055426,0.0009904,0.0120724
0.763158,2,0.998263,0.0113056,0.4203626,0.1641184,0.4997002,0.0159364,0.9982614,0.0394444,0.0007742,0.0030404,0.086726,0.0657558,0.0003398,0.0054944,0.0008888,0.011147
0.789474,2,0.9983716,0.0109106,0.437975,0.1354576,0.4997386,0.0153108,0.9983792,0.0378708,0.0007942,0.002991,0.216118,0.0316916,0.000445,0.0055742,0.000884,0.0116144
0.815789,2,0.9986692,0.009988,0.4848002,0.1432218,0.4998846,0.0136344,0.9986672,0.0344226,0.000539,0.0024992,0.2089638,0.0457632,0.000347,0.004775,0.0006598,0.0096416
0.842105,2,0.9987292,0.009797,0.3919002,0.181619,0.499771,0.0140992,0.9987296,0.0337364,0.0004858,0.002364,0.1313052,0.0694428,0.0002856,0.0044116,0.000615,0.009156
0.868421,2,0.9988328,0.0094328,0.3904492,0.1472416,0.499816,0.0132118,0.998833,0.0323594,0.0004268,0.0022672,0.1534588,0.029323,0.0002556,0.0041116,0.000551,0.0085942
0.894737,2,0.9990052,0.0085562,0.4839038,0.1523088,0.499924,0.0127246,0.9990042,0.0295652,0.0003828,0.0020694,0.2461684,0.0427282,0.0003072,0.0041228,0.0005008,0.0086554
0.921053,2,0.9990284,0.0085198,0.5621636,0.1660728,0.5000376,0.0114676,0.9990254,0.029171,0.0003572,0.002014,0.0966014,0.0372658,0.0001796,0.0039738,0.000484,0.0085012
0.947368,2,0.9990852,0.0082968,0.4722604,0.1393666,0.4999544,0.0112578,0.9990842,0.0282772,0.0003338,0.0020054,0.1870862,0.0395614,0.0002298,0.0038708,0.0004602,0.0084004
