essentiality,group_size,avg_s,asd_s,avg_p,asd_p,avg_porp,asd_porp,avg_cord,asd_cord,sd_avg_s,sd_asd_s,sd_avg_p,sd_asd_p,sd_avg_porp,sd_asd_porp,sd_avg_cord,sd_asd_cord
0.763158,4,0.9950128,0.0194712,0.1503272,0.064843,0.2537402,0.0303304,0.9950174,0.03268,0.0022122,0.0054798,0.0684004,0.0131034,0.0017544,0.0068936,0.0022564,0.008395
0.789474,4,0.9874302,0.0291848,0.1746832,0.0608866,0.260768,0.0496066,0.987419,0.0509534,0.0055638,0.0086518,0.0328554,0.0119162,0.0045088,0.0103002,0.0056168,0.0128244
0.815789,4,0.9866456,0.0290922,0.4972376,0.0726112,0.4975618,0.0255576,0.9866336,0.0504724,0.0067534,0.0088472,0.036391,0.0145852,0.0024436,0.0099502,0.0067832,0.0142374
0.842105,4,0.9902402,0.0228938,0.4920496,0.0596954,0.4987166,0.0198692,0.9902532,0.0430304,0.0042298,0.007439,0.0352992,0.0117032,0.0010604,0.0061926,0.0042714,0.0110044
0.868421,4,0.9942904,0.0180206,0.5005574,0.0704698,0.4994928,0.0150702,0.9942922,0.0325698,0.0032332,0.006601,0.0507852,0.019369,0.0007386,0.0049474,0.003275,0.0109806
0.894737,4,0.9927228,0.0196984,0.4664632,0.0706188,0.4992994,0.0163582,0.9927246,0.037791,0.0034958,0.0062228,0.0578224,0.0228084,0.0007874,0.0046892,0.0035376,0.0099354
0.921053,4,0.9937996,0.0184616,0.5296168,0.077499,0.4998632,0.014468,0.9938054,0.0346,0.002729,0.0053714,0.0305808,0.0227018,0.0004948,0.0038348,0.0027686,0.008529
0.947368,4,0.9942692,0.018555,0.4700798,0.0774398,0.4995926,0.0146674,0.9942758,0.0337572,0.0025272,0.0048534,0.0589772,0.024526,0.0005644,0.0035546,0.002555,0.0082276
0.973684,4,0.9950544,0.016715,0.4972964,0.0708594,0.4999146,0.0129648,0.9950514,0.0313892,0.0023624,0.004575,0.0438738,0.0138436,0.0005152,0.003545,0.0023944,0.0081452
1,4,0.995564,0.0157672,0.5018104,0.0787198,0.5000092,0.012343,0.9955714,0.0295636,0.0020424,0.0047024,0.0317012,0.0161668,0.0003736,0.0033772,0.0020762,0.0078982
